difficulty,difficultyOrder,distance,distanceExtended,elevationMax,elevationStart,fullName,id,name,notes,parking,range,seasonal
Easy,1,5.5,6.0,934,575,360 Road/Lookout Hill Rd. off of Palo Alto Rd.,360,360_Rd,360 Road/Lookout Hill Rd. off of Palo Alto Rd.,Discover,,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Easy to Mod,2,5.0,7.1,600,250,Anderson Lake State Park,anderson,And_Lk_TR,Anderson Lake State Park,Discover,,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Easy to Mod,2,5.0,5.8,829,500,Anderson Lake State Park - DNR,anderson-lake,AndLkDNR,Anderson Lake State Park - DNR,Nat'l Park/Golden,40,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Easy to Mod,2,6.0,8.0,829,500,Anderson Lake State Park - ODT,anderson-lake-state,AndLkODT,Anderson Lake State Park - ODT,,,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Mod to Diff,4,7.0,12.0,4830,3670,Aurora Creek - Sourdough Mt.,aurora,AurCk-Srd,Aurora Creek - Sourdough Mt.,N/A,52,"{""availableMonths"": [], ""bestSeason"": """"}"
Mod to Diff,4,11.0,12.4,3100,2530,Aurora Ridge - Eagle Lake◆︎,aurora-ridge,AurRdg-Eg,Aurora Ridge - Eagle Lake◆︎,N/A,,"{""availableMonths"": [], ""bestSeason"": """"}"
Mod to Diff,4,4.5,5.0,1500,1374,Badger Valley/Elk Mt. Cut-off◆︎,badger,BadgCut,Badger Valley/Elk Mt. Cut-off◆︎,,,"{""availableMonths"": [], ""bestSeason"": """"}"
Difficult,5,9.7,10.1,3000,2769,Badger Valley to Moose Lake from Obstruction Point◆︎,badger-valley,Badger,Badger Valley to Moose Lake from Obstruction Point◆︎,n/a,30,"{""availableMonths"": [], ""bestSeason"": """"}"
Mod to Diff,4,7.5,9.0,2000,1640,Barnes Creek◆︎,barnes,BarnesCr,Barnes Creek◆︎,N/A,16,"{""availableMonths"": [], ""bestSeason"": """"}"
Easy,1,0.5,,170,110,Blue Mt. - Rain Shadow Trail◆︎,blue,BlueMt-Rn,Blue Mt. - Rain Shadow Trail◆︎,NW Forest/Golden,35,"{""availableMonths"": [], ""bestSeason"": """"}"
Mod to Diff,4,7.0,8.0,,1623,Blyn Towers/ Salmon Creek,blyn,BlynMt,Blyn Towers/ Salmon Creek,Discover,29,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Mod to Diff,4,7.0,8.0,,1623,Blyn Tower from W Uncas Rd,blyn-tower,BlynTwrUncas,Blyn Tower from W Uncas Rd,,,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Easy to Mod,2,6.5,12.0,1200,500,Bogachiel River,bogachiel,Bogachiel,Bogachiel River,Nat'l Park/Golden,76,"{""availableMonths"": [], ""bestSeason"": """"}"
Mod to Diff,4,12.5,13.5,2730,2590,Boulder Shelter◆︎,boulder,BoulderSltr,Boulder Shelter◆︎,Discover,6,"{""availableMonths"": [], ""bestSeason"": """"}"
Easy to Mod,2,11.0,11.4,1154,1016,Boulder Creek◆︎,boulder-creek,BoulderCree,Boulder Creek◆︎,,,"{""availableMonths"": [], ""bestSeason"": """"}"
Easy to Mod,2,7.1,7.6,648,457,Borderline Trail to Marmot Loop from Deer Park Rd.,borderline,Boun-Marm,Borderline Trail to Marmot Loop from Deer Park Rd.,NW Forest/Golden,24,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Mod to Diff,4,12.0,14.0,3050,2643,Buckhorn Pass◆︎,buckhorn,BuckPass,Buckhorn Pass◆︎,NW Forest/Golden,83,"{""availableMonths"": [], ""bestSeason"": """"}"
Mod to Diff,4,12.4,13.3,2672,2100,Buckhorn Lake◆︎,buckhorn-lake,Buckhorn,Buckhorn Lake◆︎,NW Forest/Golden,43,"{""availableMonths"": [], ""bestSeason"": """"}"
Mod to Diff,4,6.0,8.5,2500,2000,Burnt Hill from Johnson Creek,burnt,BurntHill,Burnt Hill from Johnson Creek,Discover,40,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Mod to Diff,4,5.0,7.0,1600,1100,Burnt Hill cabin loop,burnt-hill,BurntHillCab,Burnt Hill cabin loop,,,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Easy to Mod,2,6.5,7.5,875,750,Camp Handy◆︎,camp,CampHandy,Camp Handy◆︎,N/A,30,"{""availableMonths"": [], ""bestSeason"": """"}"
Mod to Diff,4,5.0,6.0,2110,1736,Cascade Rock◆︎,cascade,CascRock,Cascade Rock◆︎,Nat'l Park/Golden,60,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Moderate,3,4.0,5.0,500,400,Cassidy Creek (Bike),cassidy,CasidyBike,Cassidy Creek (Bike),,,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Moderate,3,10.5,11.0,1550,1350,Cassidy Creek,cassidy-creek,CasidyCr,Cassidy Creek,Discover,30,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Easy to Mod,2,4.5,7.0,700,300,Cat Lake on Miller Peninsula,cat,CatLake,Cat Lake on Miller Peninsula,Nat'l Park/Golden,50,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Easy,1,5.0,5.8,316,250,Chetzemoka Park Historical Walk,chetzemoka,Chetzemoka,Chetzemoka Park Historical Walk,Nat'l Park/Golden,85,"{""availableMonths"": [], ""bestSeason"": """"}"
Easy,1,5.0,8.0,200,125,Crown Park to Reservation,crown,CrnPark,Crown Park to Reservation,N/A,,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Mod to Diff,4,7.0,9.0,2146,1946,Dan Kelly/Lk Aldwell Towers,dan,DanKelly,Dan Kelly/Lk Aldwell Towers,NW Forest/Golden,,"{""availableMonths"": [3, 4, 5], ""bestSeason"": """"}"
Mod to Diff,4,6.4,8.2,2240,2028,Deadfall - Mt. Zion◆︎,deadfall,Dead-Zion,Deadfall - Mt. Zion◆︎,NW Forest/Golden,30,"{""availableMonths"": [], ""bestSeason"": """"}"
